receipt_number,item_name,item_id,unit_price,quantity,unit,pre_discount_sum
22,Banan Chiquita,4011,24.9,0.45,kg,11.21
22,Bärkasse papper,2,3.5,1.0,st,3.5
22,Capellini,8076800195019,10.0,1.0,st,10.0
22,Choklad Ljus Karam,8717677336654,19.9,1.0,st,19.9
22,Creme Fraiche,7318690140436,35.9,1.0,st,35.9
22,Flat White,7613287184337,19.9,1.0,st,26.9
22,ICA Bad&Toa 6-p,7318690046905,33.9,1.0,st,33.9
22,Iskaffe Latte,4100290025083,19.9,1.0,st,19.9
22,Kycklingbröstfilé,2307116100000,99.0,1.01,kg,100.49
22,Levain,7311070008159,42.9,1.0,st,42.9
22,Mandarin Yoghurt Ch,6430048448061,16.9,2.0,st,33.8
22,Salted Crml Mocha,8445290183965,14.9,1.0,st,26.9
22,Smått & gott potati,7332205300108,12.0,1.0,st,12.0
22,Standardmjölk 3%,7318690115144,12.9,2.0,st,25.8
22,Tonfisk i vatten,7318690501992,10.0,2.0,st,20.0
22,Tortilla Chips Che,7311310032036,6.9,1.0,st,6.9
23,Amer banan pannkak,8714801411485,12.9,1.0,st,12.9
23,Banan Chiquita,4011,24.9,0.4,kg,9.84
23,Hel lax,2328029300000,89.0,1.91,kg,169.81
23,Kycklingbröstfilé,2307116100000,119.0,0.8,kg,94.72
23,Mandarin Yoghurt Ch,6430048448061,16.9,2.0,st,33.8
23,Nötfärs,2330068800000,89.9,1.62,kg,146.0
23,Smått & gott potati,7332205300108,12.0,1.0,st,12.0
23,Standardmjölk 3%,7318690115144,12.9,1.0,st,12.9
23,Tomater krossade,7318690013402,9.0,5.0,st,59.5
23,Tortilla Chips Che,7311310032036,6.9,1.0,st,6.9
24,Banan Chiquita,4011,19.9,0.77,kg,15.22
24,Bärkasse papper,2,3.5,1.0,st,3.5
24,Energituggummi,7350136170003,34.9,1.0,st,34.9
24,Iskaffe Latte,4100290025083,19.9,1.0,st,19.9
24,Levain,7311070008159,42.9,1.0,st,42.9
24,Läsk Vanilla,5000112645941,6.9,2.0,st,41.8
24,Nötfärs,7300300037793,45.0,2.0,st,90.0
24,Standardmjölk 3%,7318690115144,12.9,3.0,st,38.7
