article_number,article_name,category
7318690508663,Kyckling BBQ skiv,
7318690142010,Kycklingbuljong,
7310865072771,LCF Parm/Vitl 14%,
4100290025885,*Pucko Chokladpudd,
2332809000000,Små & fina filéer,
7318690140382,Vispgrädde 36 %,
7318690131298,Finmald Kalvfärs,
7350056793023,Grekisk Yoghurt,
7331044075918,Kalkonbröst xrökt,
7311311025686,Tortilla Original,
7318690042044,Nötfärs 5%,
7300200456007,Nötspett t c pepp,
7318690041023,Vetemjöl,
7310240077575,*Calzone ost&skinka,
7350014910523,Vätskebalans,
8717154053777,*Guacamole Neutral,
4612,Ingefära,
7318690490821,Jordn.smör Crunchy,
6407800001581,Lönnsirap plättar,
7350060704107,Pastasås Napoletan,
7350126085324,*Penne Salame,
7340063015706,Prinskorv,
6954821584253,Vitlök nät 250g,
7310867548557,Yoghurt Skogsbär,
7391049002821,Bröstfilé,
7340063013009,Isterband,
7313619001652,Lemonad Päron,
7350046676473,Rökt skinka,
8410076491916,*Taco Spice Mix,
7310470061108,*Vaniljsås,
8714789417066,*Colgate Tandb 1p,
2319117000000,Fransyska nät vac,
7350002402719,Halloumi,
7310240756692,Rotmos,
7318690509615,Handtvål Flower Ho,
7310731101703,Kaffe Selected BR,
7310960027300,Kycklingpaj,
7312720011253,Herrl Rabarber,
2307101700000,Kycklingben majs,
2330096600000,Nötfärs 12%,
7310960027270,Ost/skinkpaj,
7310960034469,*Tacopaj,
7318690081685,Handtvål Mang papa,
2372713300000,Grillkarré bbq,
7350090451057,Kebab original,
7392672003667,*Kvarg Stracciatell,
7331335000025,Presentpapper,
4594,Gurka klass 2,
7350021422699,*Kokosolja EKO Virg,
7311310038564,Mexican Pita,
7310861015024,*Recovery Chocolate,
7310861015000,*Recovery Strawberr,
5000159311373,Snickers Strut,
7350058335085,*Cels Froz Berry B,
7310240055368,*Feli Äpplemos gl,
7350058335580,*Kiwi Guava,
7310867501279,Lantmjölk Original,
7318690088943,*Lantskinka rökt pl,
7350058335597,*Strawberry Lemonad,
7350058335610,*Summer Vibe,
7311312003409,Tikka Masala Sauce,
7350058330127,*White Peach,
7350058335078,*Cels Crispy Pe B,
7350058331704,*Celsius Hall/Acai,
2372748800000,Fläskytterfilé BBQ,
7350058335535,*Mango Passion,
7318690158257,Kycklingbröstfilé,
5000112638868,*Läsk Zero Vanill33,
7318690062837,*Pizza Kebab,
2332810800000,Str.kyckl. vit/ch,
7392672104050,Turkisk yoghurt,
7318690185581,Papardelle per/vit,
8410076472410,Tortilla,
7318690508243,Vallmotoast,
7318690140191,Mellangrädde 27%,
7310401050232,Mixer Tonic Zero,
7310401050225,Pink Tonic Zero,
7318693555800,Druva grön kf ICA,
7312720011239,Herr Svartvinbärs,
2332804000000,*Kyckl.file,
7318690185284,*Makrill i tomats,
7318690036050,*Pizza Capricciosa,
7318690148883,Våtservett Toalett,
7310865083418,*Gräddfil 12%,
5000112654264,*Koffeinfri,
2330072500000,Lövbiff,
